leds[0][0].brightness, 0x00,
leds[2][3].ry, 0x00000000,
leds[2][4].brightness, 0x00,
leds[2][4].vx, 0x00000000,
leds[2][4].vy, 0x00000000,
leds[2][4].rx, 0x00000000,
leds[2][4].ry, 0x00000000,
leds[2][5].brightness, 0x00,
leds[2][5].vx, 0x00000000,
leds[2][5].vy, 0x00000000,
leds[2][5].rx, 0x00000000,
leds[2][5].ry, 0x00000000,
leds[2][6].brightness, 0x28,
leds[2][6].vx, 0x00000000,
leds[2][6].vy, 0x00000000,
leds[2][6].rx, 0x00000000,
leds[2][6].ry, 0x00000000,
leds[2][7].brightness, 0x28,
leds[2][7].vx, 0x00000000,
leds[2][7].vy, 0x00000000,
leds[2][7].rx, 0x00000000,
leds[2][7].ry, 0x00000000,
leds[2][8].brightness, 0x28,
leds[2][8].vx, 0x00000000,
leds[2][8].vy, 0x00000000,
leds[2][8].rx, 0x00000000,
leds[2][8].ry, 0x00000000,
leds[2][9].brightness, 0x28,
leds[2][9].vx, 0x00000000,
leds[2][9].vy, 0x00000000,
leds[2][9].rx, 0x00000000,
leds[2][9].ry, 0x00000000,
leds[2][10].brightness, 0x28,
leds[2][10].vx, 0x00000000,
leds[2][10].vy, 0x00000000,
leds[2][10].rx, 0x00000000,
leds[2][10].ry, 0x00000000,
leds[2][11].brightness, 0x00,
leds[2][11].vx, 0x00000000,
leds[2][11].vy, 0x00000000,
leds[2][11].rx, 0x00000000,
leds[2][11].ry, 0x00000000,
leds[2][12].brightness, 0x00,
leds[2][12].vx, 0x00000000,
leds[2][12].vy, 0x00000000,
leds[2][12].rx, 0x00000000,
leds[2][12].ry, 0x00000000,
leds[2][13].brightness, 0x00,
leds[2][13].vx, 0x00000000,
leds[2][13].vy, 0x00000000,
leds[2][13].rx, 0x00000000,
leds[2][13].ry, 0x00000000,
leds[2][14].brightness, 0x00,
leds[2][14].vx, 0x00000000,
leds[2][14].vy, 0x00000000,
leds[2][14].rx, 0x00000000,
leds[2][14].ry, 0x00000000,
leds[2][15].brightness, 0x00,
leds[2][15].vx, 0x00000000,
leds[2][15].vy, 0x00000000,
leds[2][15].rx, 0x00000000,
leds[2][15].ry, 0x00000000,
leds[3][0].brightness, 0x00,
leds[3][0].vx, 0x00000000,
leds[3][0].vy, 0x00000000,
leds[3][0].rx, 0x00000000,
leds[3][0].ry, 0x00000000,
leds[3][1].brightness, 0x00,
leds[3][1].vx, 0x00000000,
leds[3][1].vy, 0x00000000,
leds[3][1].rx, 0x00000000,
leds[3][1].ry, 0x00000000,
leds[3][2].brightness, 0x00,
leds[3][2].vx, 0x00000000,
leds[3][2].vy, 0x00000000,
leds[3][2].rx, 0x00000000,
leds[3][2].ry, 0x00000000,
leds[3][3].brightness, 0x00,
leds[3][3].vx, 0x00000000,
leds[3][3].vy, 0x00000000,
leds[3][3].rx, 0x00000000,
leds[3][3].ry, 0x00000000,
leds[3][4].brightness, 0x00,
leds[3][4].vx, 0x00000000,
leds[3][4].vy, 0x00000000,
leds[3][4].rx, 0x00000000,
leds[3][4].ry, 0x00000000,
leds[3][5].brightness, 0x28,
leds[3][5].vx, 0x00000000,
